"eventid","iyear","imonth","iday","country","country_txt","region","region_txt","city","latitude","longitude","multiple","success","suicide","attacktype1","attacktype1_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","natlty1","natlty1_txt","guncertain1","weaptype1","weaptype1_txt","weapsubtype1","weapsubtype1_txt","weapdetail","nkill","nwound","ishostkid","ransom"
199508120001,1995,8,12,153,"Pakistan",6,"South Asia","Peshawar",34.01,71.58,0,1,0,9,"Unknown",4,"Military",34,"Military Personnel (soldiers, troops, officers, forces)",153,"Pakistan",0,13,"Unknown",,".",,9,0,0,0
199508120002,1995,8,12,160,"Philippines",5,"Southeast Asia","Calanogas",7.75,124.1,0,1,0,7,"Facility/Infrastructure Attack",21,"Utilities",107,"Electricity",160,"Philippines",0,9,"Melee",23,"Knife or Other Sharp Object","Saw",0,0,0,0
199508120003,1995,8,12,160,"Philippines",5,"Southeast Asia","Ramain",7.97,124.35,0,1,0,3,"Bombing/Explosion",21,"Utilities",107,"Electricity",160,"Philippines",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type","Explosive",0,0,0,0
199508120004,1995,8,12,222,"Venezuela",3,"South America","Barquisimeto",10.06,-69.33,0,1,0,8,"Unarmed Assault",2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally",222,"Venezuela",0,2,"Chemical",,".","Tear gas",0,28,0,0
199508120005,1995,8,12,6,"Algeria",10,"Middle East & North Africa","Saoula",36.7,3.02,0,1,0,1,"Assassination",10,"Journalists & Media",53,"Newspaper Journalist/Staff/Facility",6,"Algeria",0,5,"Firearms",5,"Unknown Gun Type","Firearm",1,0,0,0
199508120006,1995,8,12,6,"Algeria",10,"Middle East & North Africa","Souidania",36.71,2.91,0,1,0,3,"Bombing/Explosion",2,"Government (General)",21,"Government Building/Facility/Office",6,"Algeria",0,6,"Explosives/Bombs/Dynamite",15,"Vehicle","Car bomb",0,12,0,0
199508120007,1995,8,12,45,"Colombia",3,"South America","Apartado",7.88,-76.63,0,1,0,2,"Armed Assault",1,"Business",2,"Restaurant/Bar/Caf�",45,"Colombia",0,5,"Firearms",2,"Automatic Weapon","Automatic firearm",6,0,0,0
199508120008,1995,8,12,45,"Colombia",3,"South America","Carepa",7.76,-76.66,0,1,0,2,"Armed Assault",1,"Business",2,"Restaurant/Bar/Caf�",45,"Colombia",0,5,"Firearms",2,"Automatic Weapon","Automatic firearm",7,0,0,0
199508120009,1995,8,12,45,"Colombia",3,"South America","Turbo",8.09,-76.73,0,1,0,2,"Armed Assault",1,"Business",2,"Restaurant/Bar/Caf�",45,"Colombia",0,5,"Firearms",2,"Automatic Weapon","Automatic firearm",7,0,0,0
199508120010,1995,8,12,60,"Egypt",10,"Middle East & North Africa","Mallawi",27.73,30.84,0,1,0,1,"Assassination",3,"Police",25,"Police Security Forces/Officers",60,"Egypt",0,5,"Firearms",5,"Unknown Gun Type","Firearm",1,0,0,0
